Year,GDP_Growth_%,Inflation_%,Unemployment_%,Population_Billion,FDI_Billion_$,Exports_Billion_$,Imports_Billion_$,Tech_Investment_Billion_$,Leading_Sector,Policy_Focus,Economic_Outlook
2032,6.98,3.94,6.95,1.5,138.97,1020.42,852.83,126.7,AI,Make in India,Very Strong
2045,6.85,4.6,6.9,1.43,112.91,694.37,923.2,79.87,Manufacturing,Smart Cities,Positive
2040,7.71,4.95,5.33,1.55,163.03,729.95,560.02,93.39,Renewable Energy,PLI Scheme,Strong
2036,8.45,4.61,5.54,1.57,104.29,851.08,979.74,74.95,Space,Smart Cities,Positive
2033,8.16,3.73,6.06,1.48,31.71,665.13,794.5,124.0,AI,Digital Push,Very Strong
2046,7.74,4.39,5.44,1.53,146.44,853.79,1047.79,106.5,EV,Make in India,Very Strong
2032,6.7,4.99,6.84,1.54,122.55,747.5,755.68,73.51,Space,Green Energy,Strong
2044,7.05,5.74,6.35,1.5,126.42,540.75,724.58,47.95,Renewable Energy,Smart Cities,Very Strong
2048,6.94,4.06,5.11,1.44,84.94,593.95,799.23,110.75,Infrastructure,PLI Scheme,Strong
2036,6.82,4.8,5.38,1.58,108.93,709.46,890.0,78.55,EV,Make in India,Strong
2036,6.88,4.99,7.39,1.48,114.66,896.75,781.59,106.85,AI,Make in India,Very Strong
2049,6.86,3.63,7.74,1.47,104.05,642.9,900.15,95.87,Manufacturing,Digital Push,Moderate
2046,6.82,5.45,6.74,1.58,66.64,685.91,765.8,53.31,Space,PLI Scheme,Very Strong
2029,7.96,3.45,5.99,1.53,179.22,775.33,824.88,73.86,Infrastructure,Make in India,Very Strong
2033,6.36,4.77,5.76,1.51,130.9,549.75,1133.12,82.92,EV,Make in India,Positive
2049,6.62,4.41,6.75,1.45,120.51,785.83,870.02,76.48,AI,Green Energy,Very Strong
2028,5.93,4.24,6.28,1.54,142.85,564.75,881.25,92.32,Technology,Digital Push,Positive
2047,8.33,5.98,4.59,1.64,126.1,818.06,613.84,98.03,Biotech,Digital Push,Positive
2046,6.56,3.99,7.23,1.54,93.07,652.95,1009.6,125.79,AI,PLI Scheme,Very Strong
2027,7.73,3.98,7.55,1.52,141.24,636.95,969.31,99.44,Technology,Make in India,Strong
2049,7.58,5.13,6.94,1.54,131.31,782.74,719.98,119.82,Technology,Green Energy,Moderate
2037,8.26,4.73,5.11,1.48,94.02,845.28,966.54,80.46,EV,Startup India,Very Strong
2031,7.03,5.1,5.56,1.48,129.75,795.15,866.17,113.3,AI,Smart Cities,Very Strong
2027,6.44,4.28,4.34,1.48,103.99,774.92,826.5,82.38,Biotech,Digital Push,Strong
2046,5.96,4.42,7.8,1.47,115.21,776.62,1000.73,71.66,AI,Green Energy,Positive
2026,4.97,5.53,5.84,1.48,124.99,795.88,748.28,70.81,Technology,PLI Scheme,Strong
2037,7.33,3.61,8.53,1.48,144.21,803.76,718.87,37.16,Renewable Energy,Green Energy,Strong
2047,7.82,4.13,8.16,1.49,93.85,702.69,849.06,107.08,Infrastructure,Make in India,Positive
2037,7.58,4.76,5.3,1.49,119.12,828.54,893.95,64.2,Manufacturing,Smart Cities,Very Strong
2050,5.98,4.06,5.49,1.51,160.39,654.22,955.28,118.16,AI,Digital Push,Strong
2042,8.03,3.8,6.67,1.5,105.6,880.97,798.87,86.52,Infrastructure,Startup India,Strong
2035,6.64,4.63,4.45,1.51,114.91,843.89,701.03,58.9,Infrastructure,Make in India,Very Strong
2041,6.47,5.14,5.76,1.58,160.36,1011.71,1174.0,67.65,Space,Digital Push,Very Strong
2040,6.62,4.1,5.66,1.5,125.94,811.66,667.88,93.81,Renewable Energy,PLI Scheme,Moderate
2040,7.26,4.08,8.05,1.61,73.15,859.09,827.72,52.4,Infrastructure,Digital Push,Strong
2044,6.01,3.75,6.36,1.52,90.11,562.74,929.16,101.8,AI,Green Energy,Moderate
2037,7.17,3.99,5.92,1.48,127.24,863.0,981.16,59.67,EV,Smart Cities,Positive
2048,7.54,4.96,5.57,1.57,120.58,891.17,740.6,75.22,EV,Startup India,Very Strong
2045,8.09,4.26,7.09,1.5,114.06,930.57,557.51,93.97,Space,Smart Cities,Very Strong
2050,7.34,3.64,5.7,1.38,164.03,764.46,737.36,99.35,Infrastructure,Green Energy,Moderate
2028,6.13,4.38,6.15,1.5,94.56,708.97,940.59,105.95,AI,Startup India,Strong
2030,7.32,4.94,5.56,1.49,108.14,619.26,909.25,63.87,AI,Startup India,Positive
2044,6.35,3.81,4.68,1.58,60.92,630.24,913.82,83.83,Technology,Make in India,Strong
